Factory,Region,BP1,PF1,PD,D1,Price ($) ,Price (Kshs)
CHINGA,East,316,336,321,308,3.2,413
GACHARAGE,East,358,355,340,329,3.46,446
GACHEGE,East,330,332,316,310,3.22,415
GATHUTHI,East,318,377,338,354,3.47,447
GATUNGURU,East,324,333,322,302,3.2,413
GITHAMBO,East,257,316,288,272,2.83,365
GITHONGO,East,391,357,350,,3.66,472
GITUGI,East,317,360,332,315,3.31,427
????IGEMBE,East,,340,320,301,3.2,413
IKUMBI,East,333,342,319,318,3.28,423
IMENTI,East,378,368,348,334,3.57,461
IRIAINI,East,320,329,323,309,3.2,413
KAGWE,East,354,345,328,310,3.34,431
KAMBAA,East,322,340,327,317,3.27,421
KANGAITA,East,314,351,338,324,3.32,428
KANYENYAINI,East,302,329,315,303,3.12,403
KATHANGARIRI,East,314,359,333,316,3.31,426
??KIEGOI,East,364,376,335,349,3.56,459
KIMUNYE,East,306,363,330,348,3.37,434
KINORO,East,338,352,338,326,3.39,437
KIONYO,East,360,350,337,333,3.45,445
KIRU,East,310,333,319,312,3.19,411
MAKOMBOKI,East,352,353,340,324,3.42,442
MATAARA,East,272,327,320,281,3,387
MUNGANIA,East,318,356,334,315,3.31,427
MUNUNGA,East,370,411,335,321,3.59,463
NDARUGU,East,314,330,320,279,3.11,401
NDIMA,East,360,345,334,325,3.41,440
NDUTI,East,318,325,318,311,3.18,410
NGERE,East,335,353,337,310,3.34,431
NJUNU,East,336,345,332,319,3.33,430
RAGATI,East,316,331,306,298,3.13,403
RUKURIRI,East,322,367,335,331,3.39,437
THETA,East,314,334,321,307,3.19,412
THUMAITA,East,255,330,317,286,2.97,383
WERU,East,312,334,326,307,3.2,412
BOITO,West,,156,160,172,1.63,210
CHEBUT,West,184,176,162,168,1.73,223
CHELAL,West,190,198,160,177,1.81,234
EBEREGE,West,239,,174,,2.07,266
GIANCHORE,West,210,230,174,190,2.01,259
ITUMBE,West,,201,,170,1.86,239
KAPKATET,West,229,196,167,223,2.04,263
KAPKOROS,West,217,166,216,170,1.92,248
KAPSARA,West,204,187,160,160,1.78,229
KAPSET,West,208,163,160,172,1.76,227
KAPTUMO,West,208,174,165,,1.82,235
KEBIRIGO,West,208,205,192,170,1.94,250
KIAMOKAMA,West,,184,175,201,1.87,241
KOBEL,West,208,155,175,176,1.79,230
LITEIN,West,210,176,165,192,1.86,240
MOGOGOSIEK,West,,180,160,172,1.71,220
MOMUL,West,275,296,295,302,2.92,377
MOTIGO,West,184,200,172,220,1.94,250
MUDETE,West,193,192,164,,1.83,236
MWAMU,West,242,228,191,172,2.08,269
NYAMACHE,West,240,228,170,184,2.06,265
NYANKOBA,West,244,250,199,224,2.29,296
NYANSIONGO,West,192,197,168,180,1.84,238
OGEMBO,West,200,274,196,202,2.18,281
OLENGURUONE ,West,172,206,189,160,1.82,234
ROROK,West,,164,160,164,1.63,210
SANGANYI,West,240,185,164,175,1.91,246
SOMBOGO,West,,228,221,,2.25,290
TEBESONIK,West,241,230,207,230,2.27,293
TEGAT,West,230,181,180,171,1.91,246
TIRGAGA,West,232,196,163,225,2.04,263
TOMBE,West,226,216,170,,2.04,263
TOROR,West,206,192,187,180,1.91,247
